Superfamily	Family	est_sp_JH	est_sp_JFT	est_sp_UCD	est_sp_HW	est_sp_Wikipedia	est_sp_Jones_2009	est_sp_JH_2002	descr_genera_HW	desc_species_HW	desc_genera_Wikipedia	desc_species_Wikipedia	desc_genera_AG	desc_species_AG	desc_genera_other	desc_species_other	other_reference	comment		
Proctotrupoidea	Roproniidae	30								18	2	21	2	20						
Proctotrupoidea	Vanhorniidae				7				1	5	3	5	3	5						
Diaprioidea	Diapriidae				4000				150	2300	150	2300	190	2048						
Diaprioidea	Maamingidae	5								2	1	2	1	2						
Diaprioidea	Monomachidae	50							2	20	2	8	2	30						
Mymarommatoidea	Mymarommatidae	50								9	2	10	3	10	3	10	GibsonReHu2007			
Chalcidoidea	Agaonidae			2000						650	24	650	20	762		454	Noyes UCD			
Chalcidoidea	Aphelinidae			25000						1120	35	1160	29	1078		1399	Noyes UCD			
Chalcidoidea	Azotidae			1500							1	94	1	92		92	Noyes UCD			
Chalcidoidea	Chalcididae			15000						1875	85	1455	90	1469	85	1537	Noyes UCD			
Chalcidoidea	Cynipencyrtidae			1						1			1	1	1	1	Heraty et al. 2013			
Chalcidoidea	Encyrtidae			100000					745	3825	455	3710	493	4058	500	4776	Noyes UCD			
Chalcidoidea	Eriaporidae			200						10	5	22	5	22		22	Noyes UCD			
Chalcidoidea	Eucharitidae							784	70	380	55	417	57	427	65	484	Heraty 2018	Noyes estimates 8000		
Chalcidoidea	Eulophidae			130000						3900	300	4300	334	4969		5994	Noyes UCD			
Chalcidoidea	Eupelmidae			10000						900	45	905	51	931		1053	Noyes UCD			
Chalcidoidea	Eurytomidae			15000						1425	87	1420	97	1453		1602	Noyes UCD			
Chalcidoidea	Leucospidae			800						240	4	135	4	134		141	Noyes UCD			
Chalcidoidea	Mymaridae			70000						1400	100	1400	96	1437		1461	Noyes UCD			
Chalcidoidea	Ormyridae			2000					4	90	3	120	3	125		145	Noyes UCD			
Chalcidoidea	Perilampidae			4000					6	260	17	270	17	284		302	Noyes UCD			
Chalcidoidea	Pteromalidae			80000						4115	640	3450	619	3544	642	4194	Noyes UCD	Mitroiu estimates the lowest number 40000		
Chalcidoidea	Rotoitidae			5						2	2	2	2	2		2	Noyes UCD			
Chalcidoidea	Signiphoridae			5000					4	80	4	80	4	78		83	Noyes UCD			
Chalcidoidea	Tanaostigmatidae			1000					15	90	9	90	9	93	9	99	Noyes UCD			
Chalcidoidea	Tetracampidae			600						50	14	44	15	44		57	Noyes UCD			
Chalcidoidea	Torymidae			8000					120	1150	58	760	82	900		1181	Noyes UCD	WP-Megastigmidae		
Chalcidoidea	Trichogrammatidae			30000						675	80	840	97	881	98	1005	Noyes UCD			
